Status,Station Name,Observation Date,Latitude,Longitude,Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site
,NSNHSSP (Ninety Six National Historic Site Small Pond),2023-03-28,34.1421,-82.0141,08:38 pm,08:41 pm,16,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Eastern Cricket Frog,1 - Individuals can be counted; there is space between calls,,Ninety Six,Greenwood,South Carolina,Site managed by the National Park Service,Pond,Human-made,Permanent,Pond,"his pond is a fraction of an acre in size.  Surface and emergent vegetation covers most of the pond's surface.  The emergent vegetation grows from the shoreline to several feet into the pond.  The vegetation is so thick, I have seen frogs resting on top of it.  Cattails and water hemlock grow on some the the vegetation mats.  Willows grow along much of the shore.  With the exception of one large oak, the dike has no trees.  The Park personnel regularly maintain the dike. The pond is surrounded by forest.  I have seen water bubbling from the ground on the southwest corner of the pond, so I suspect that it is spring fed.  The pond supports a population of mosquito fish (Gambusia).  The floodplain for Henley Creek is located within about 1/4 mile south of the pond.  This floodplain normally has several vernal pools.","From the instersection of Highway 34 and Highway 248 in the town of Ninety Six, travel two miles south on Highway 248.  The visitor's center for Ninety Six National Historic Site is located on the left.  To get to the pond, walk on the paved trail past the visitor's center to the battlefield.  Follow the trail to the Star Fort.  At the fort, leave the trail and look for an unpaved trail behind the star.  This unpaved trail takes you to a service road, also unpaved.  Turn right onto this service road and take an almost immediate left on a perpendicular service road.  Follow this service road to the small pond."
,Phelps Brook Beaver Pond,2023-03-28,41.888994,-72.695743,08:03 pm,08:06 pm,6.67,0 - CALM: smoke rises vertically,None,Much Precipitation,Below Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Windsor,Hartford,Connecticut,Suburban,Pond,Formed by a Beaver Dam,Permanent,Stream or River,"Wooded, much leaf litter",Prospect Hill Road to Woodduck farms rd.  End of cul de sac
,Pine Brook,2023-03-27,41.425642,-72.866118,09:13 pm,09:16 pm,6.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,The overnight temperature reached 32 degrees F. Rain started today at approximately 5:30 pm. Rain totals will be available tomorrow. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,Phelps Brook Beaver Pond,2023-03-27,41.888994,-72.695743,07:43 pm,07:47 pm,7.28,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Below Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Windsor,Hartford,Connecticut,Suburban,Pond,Formed by a Beaver Dam,Permanent,Stream or River,"Wooded, much leaf litter",Prospect Hill Road to Woodduck farms rd.  End of cul de sac
,Branford Supply Pond / Pisgah Brook Preserves,2023-03-27,41.29621,-72.80521,12:30 am,12:33 am,5.11,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Branford,New Haven,Connecticut,Rural,Pond,Human-made,Permanent,Stream or River,Multiple environment,Route 1 to North Chesnut Street to parking area.
,Swamp W of Fox Chase,2023-03-27,41.772206,-72.760068,08:15 pm,08:18 pm,5.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",similar calls as 3/18 observation. Spring Peepers near peak. 1 or 2 wood frogs calling intermittently.,West Hartford,West Hartford,Connecticut,Suburban,Swamp or Woodland Swamp,Not Known,Permanent,Not Known,"Swampy, low area between areas of housing. Wooded.",Trails W of Fox Chase. Sign stating state land
,Swamp W of Fox Chase,2023-03-27,41.772206,-72.760068,08:15 pm,08:18 pm,5.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,Some Precipitation,Above Freezing,Wood Frog,1 - Individuals can be counted; there is space between calls,similar calls as 3/18 observation. Spring Peepers near peak. 1 or 2 wood frogs calling intermittently.,West Hartford,West Hartford,Connecticut,Suburban,Swamp or Woodland Swamp,Not Known,Permanent,Not Known,"Swampy, low area between areas of housing. Wooded.",Trails W of Fox Chase. Sign stating state land
,The Frog Shire,2023-03-27,40.8459,-81.45627,09:00 pm,09:10 pm,3.89,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Canton,Stark,Ohio,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Esmond Pond,2023-03-27,41.86923,-71.5076,09:16 pm,09:19 pm,44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Smithfield,Providence,Rhode Island,,Pond,Not Known,Permanent,Not Known,"Appears to get water from run-off.  May get water from nearby stream, but unsure if they're connected.  Many nearby water sources are polluted and this pond is behind a business and known dumping ground.  Periodically some propose filling it in to make a strip mall.  (It was voted down.)","""1.Start out going north on Elmwood Ave/US-1.   0.10 mi    2.Make a U-turn onto Elmwood Ave/US-1.  0.02 mi  	  3. Make a U-turn onto Elmwood Ave/US-1.  If you are on US-1 and reach Roger Williams Ave you've gone about 0.1 miles too far  0.3 mi    4.Merge onto RI-10 N via the ramp on the left  0.5 mi  	  5.Merge onto I-95 S via EXIT 2B toward Warwick.  2.5 mi  	  6.Merge onto RI-37 W via EXIT 14B toward Cranston/RT-2.  1.9 mi  	  7.Merge onto I-295 N via EXIT 1B toward Johnston.  8.3 mi  	  8.Merge onto Putnam Pike/US-44 E via EXIT 7A toward N. Providence.  0.5 mi  	  9.265 PUTNAM PIKE is on the left.  If you reach Esmond St you've gone a little too far"""
,Powder Mill Ledges Wildlife Refuge ,2023-03-27,41.86793,-71.5308,09:03 pm,09:06 pm,6.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Smithfield ,Providence ,Rhode Island,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Not Known,,"Get on RI-10 N from Green Memorial Blvd and Elmwood Ave 4 min (1.1 mi). Take I-95 S, RI-37 W, and I-295 N to RI-5 N in Johnston.  Exit from I-295 N 12 min (11.9 mi).  Turn left onto RI-5 N. Destination will be on the right 3 min (1.9 mi). "
,Powder Mill Ledges Wildlife Refuge ,2023-03-27,41.86793,-71.5308,09:03 pm,09:06 pm,6.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,Some Precipitation,Above Freezing,Wood Frog,"3 - Full chorus, calls are constant, continuous and overlapping",,Smithfield ,Providence ,Rhode Island,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Not Known,,"Get on RI-10 N from Green Memorial Blvd and Elmwood Ave 4 min (1.1 mi). Take I-95 S, RI-37 W, and I-295 N to RI-5 N in Johnston.  Exit from I-295 N 12 min (11.9 mi).  Turn left onto RI-5 N. Destination will be on the right 3 min (1.9 mi). "
,Lowthorpe Meadow pond,2023-03-27,41.5469,-72.0921,07:23 pm,07:29 pm,10,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Norwich,New London,Connecticut,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,
,"Mono Pond Trail Head, Wildwood Dr",2023-03-27,41.668415,-72.314184,08:53 pm,08:56 pm,5.56,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Columbia ,Tolland,Connecticut,Suburban,Pond,Natural,Permanent,Not Known,Trail in residential area leading down to Mono Pond ,Between 16 and 14 Wildwood Drive 
,Smith's Swamp (Below Spelman Dam),2023-03-27,41.2,-81.35,07:30 pm,08:04 pm,3.33,,None,Some Precipitation,Above Freezing,Pickerel Frog,1 - Individuals can be counted; there is space between calls,,Kent,Portage,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Pond,Isolated Swamp in a woods,Park at Lake Spelman Camp.  Walk down the backside of the dam.
,Smith's Swamp (Below Spelman Dam),2023-03-27,41.2,-81.35,07:30 pm,08:04 pm,3.33,,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Kent,Portage,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Pond,Isolated Swamp in a woods,Park at Lake Spelman Camp.  Walk down the backside of the dam.
,Medina Huntington st pond,2023-03-27,41.1458,-81.8692,08:28 pm,08:31 pm,2.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Medina,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,
,Spartan Meadow,2023-03-27,34.04757,-81.16704,09:17 pm,09:20 pm,18.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia ,Richland,South Carolina,Suburban,Wet Meadow,Artifically Altered,Temporary Every Year,Precipitation or Runoff,"Open, scrubby meadow under power lines with places of deeper soil indentations that capture rain water, run off from road that passes. Part of Saluda Shoals Park.","Enter Saluda Shoals Park through Bush River entrance, follow road over to playground/sport fields. Watch for power line section on your right side that heads toward the river. If you see the power line pole marked 349 you are at the wetland meadow."
,Spartan Meadow,2023-03-27,34.04757,-81.16704,09:17 pm,09:20 pm,18.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Cope's Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Columbia ,Richland,South Carolina,Suburban,Wet Meadow,Artifically Altered,Temporary Every Year,Precipitation or Runoff,"Open, scrubby meadow under power lines with places of deeper soil indentations that capture rain water, run off from road that passes. Part of Saluda Shoals Park.","Enter Saluda Shoals Park through Bush River entrance, follow road over to playground/sport fields. Watch for power line section on your right side that heads toward the river. If you see the power line pole marked 349 you are at the wetland meadow."
,Spartan Meadow,2023-03-27,34.04757,-81.16704,09:17 pm,09:20 pm,18.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Southern Toad,1 - Individuals can be counted; there is space between calls,,Columbia ,Richland,South Carolina,Suburban,Wet Meadow,Artifically Altered,Temporary Every Year,Precipitation or Runoff,"Open, scrubby meadow under power lines with places of deeper soil indentations that capture rain water, run off from road that passes. Part of Saluda Shoals Park.","Enter Saluda Shoals Park through Bush River entrance, follow road over to playground/sport fields. Watch for power line section on your right side that heads toward the river. If you see the power line pole marked 349 you are at the wetland meadow."
,Crawfish Wetland,2023-03-27,34.045957,-81.165422,09:03 pm,09:06 pm,18.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,No calls despite well filled temporary wetland sites.,Columbia,Lexington,South Carolina,Suburban,Vernal Pool,Formed by a Beaver Dam,Temporary Some Years,Groundwater,"Fallen trees have created a great vernal pool, next to an exsisting retention pond",Must enter Saluda Shoals Park ($5 pass fee required) to access this sight. Pool is between retention bond and old pumphouse gravel road behind fields and all-inclusive playground. Contact Saluda Shoals Park rangers for questions 803-604-6012
,Woodduck Swamp,2023-03-27,34.048972,-81.162066,08:50 pm,08:53 pm,18.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping","Caught Green Treefrog on road that leads to monitoring sites, several Southern toads on road, too.",Columbia,Lexington,South Carolina,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Woodland Swamp hidden from park guest, dominated by willows, and oaks","Park in large parking lot by Tennis Center, walk to woodline by gate house. There is a gate attendant but show frogwatch card, monitoring access possible. Call Saluda Shoals Park Rangers with questions 803-479-986"
