Status,Station Name,Observation Date,Latitude,Longitude,Reporting Category,# Observed,Comments,Report ID
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,279"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,261"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,196"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,499,553"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,499,476"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,499,261"
,Site 2447,2020-12-30,28.075,-82.251,Monarch Larva Sighted,15,I have a small milkweed garden in my yard. I have over half a dozen come out of the cocoons in the last two days. i have tons of pics Just letting you all knowthank you ,"1,526,499,375"
,Site 2432,2020-12-30,28.065,-97.048,Monarch Adult Sighted,1,"Adult repeatedly landed in mowed Bermuda grass, but no flowering plants were visible.","1,526,499,274"
,Site 2431,2020-12-30,28.065,-97.037,Monarch Adult Sighted,1,Adult flying in residential neighborhood ,"1,526,499,272"
,Site 2429,2020-12-30,28.063,-97.036,Monarch Adult Sighted,1,Adult appeared to be nectarine on blooming seagrape tree.,"1,526,499,273"
,Site 4113,2020-12-30,29.548,-95.805,Monarch Egg Sighted,5,Had frost but milkweed coming back. Saw the female 2 days ago and found eggs today ,"1,526,499,257"
,Site 3748,2020-12-30,29.458,-98.454,Monarch Adult Sighted,2,Two Monarchs seen at the SanAntonio Botanical Center. One was tagged but I was unable to take a picture close enough to read tag.,"1,526,499,295"
,Site 7235,2020-12-30,30.192,-85.832,Monarch Adult Sighted,1,nectaring on Bidens in my yard,"1,526,499,269"
,Site 9594,2020-12-30,30.602,-87.865,Monarch (OTHER Observations),1,Another monarch crysallis found in my yard. Looks healthy.,"1,526,499,286"
,Site 8396,2020-12-30,30.389,-95.696,Monarch Larva Sighted,2,I have a protected area where I am rooting tropical milk weed and have two very slow growing catapillers there. I also rescued about 100 eggs and catapillers before the first hard freeze and have been hatching and releasing ever since. Two or three at least a week ,"1,526,499,278"
,Site 104475,2020-12-29,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 females/juveniles at our feeders today.  3 in the morning, 2 of the 3 mid day and not at home to observe at dusk","1,526,499,246"
,Site 99658,2020-12-29,32.263,-110.84,Hummingbird Sighting (Adult Male),1,"Looks like a female Anna.  Seen at feeder yesterday and today. Male broad billed, Costa and Annas have been seen all year.(Editor's Note: Edited for clarity)","1,526,499,245"
,Site 1708,2020-12-29,26.933,-82.053,Monarch Egg Sighted,10,At least 10 new eggs on one plant.  ,"1,526,499,225"
,Site 1708,2020-12-29,26.933,-82.053,Monarch Larva Sighted,3,"Three first instar larvae.  The eggs or larvae must have survived the low temps Friday, Saturday and Sunday nights.  We had temps of 45 degrees on Dec. 18 & 19, mid 30's on December 26 and 27.  ","1,526,499,224"
,Site 1708,2020-12-29,26.933,-82.053,Monarch Adult Sighted,1,"Backyard.  Temps were in the mid to high 30's for a few nights, and this butterfly is still coming to my milkweed and laying eggs.","1,526,499,222"
,Site 1684,2020-12-29,26.881,-82.313,Monarch Adult Sighted,1,Nectaring on milkweed,"1,526,499,690"
,Site 1515,2020-12-29,26.402,-80.221,Monarch Egg Sighted,2,There were several eggs on many plants.  The eggs were on tropical milkweed (Asclepias curissavica).,"1,526,499,264"
,Site 1633,2020-12-29,26.669,-80.084,Monarch Larva Sighted,1,Found on my milkweed plant ,"1,526,499,221"
,Site 1547,2020-12-29,26.487,-80.058,Monarch Larva Sighted,40,Many have been observed on A. curassaivca since early November at the Gulf Stream Golf Club Butterfly Garden. The leaves become completely skeletanized then activity stops until the plants leaf out again about 3-4 weeks later,"1,526,499,243"
,Site 1545,2020-12-29,26.486,-80.057,Monarch Adult Sighted,7,There has been a steady stream of Monarchs in the butterfly garden at the Gulf Stream Golf Club this fall. Monarchs are nectaring on A. curassavica and other plants.,"1,526,499,244"
,Site 1507,2020-12-29,26.35,-80.088,Monarch Larva Sighted,2,"There were many larvae feeding on many plants.  There were larvae feeding on tropical milkweed, but the ones pictured were on golden thryallis (Galphimia speciosa)","1,526,499,265"
,Site 3379,2020-12-29,29.214,-94.936,Monarch Adult Sighted,1,In front yard near Asclepius curassavica ,"1,526,499,227"
,Site 2720,2020-12-29,28.455,-96.41,Monarch Adult Sighted,1,Resting on grass then flew.,"1,526,499,262"
,Site 2330,2020-12-29,28,-82.752,Monarch Larva Sighted,2,2 caterpillars on my Swamp Milkweed in backyard pots.,"1,526,499,304"
,Site 2330,2020-12-29,28,-82.752,Monarch Egg Sighted,8,Monarch just laid 8 eggs on Tropical Milkweed planted in backyard. She is also visiting the other plants and millkweeds.,"1,526,499,229"
,Site 2330,2020-12-29,28,-82.752,Monarch Larva Sighted,2,2 caterpillars on my Swamp Milkweed in backyard pots.,"1,526,499,228"
,Site 2330,2020-12-29,28,-82.752,Monarch Adult Sighted,1,Visiting my backyard Tropical Milkweed planted in the ground.,"1,526,499,226"
,Site 4116,2020-12-29,29.549,-81.23,Monarch Adult Sighted,1,Sunning,"1,526,499,263"
,Site 4116,2020-12-29,29.549,-81.23,Monarch Adult Sighted,1,Sunning,"1,526,499,240"
,Site 6917,2020-12-29,30.139,-84.099,Monarch (OTHER Observations),20,Surveyed 20 a Perennis milkweed  at St Marks Road 115 observed 3 eggs and one queen larva Google Earth says coordinates are 30 08 15 N 84 05 51 W,"1,526,500,663"
,Site 6717,2020-12-29,30.08,-84.176,Monarch Adult Sighted,3,2 female 1 unidentified on Lighthouse Levee Trail St Marks NWR,"1,526,499,609"
,Site 10060,2020-12-29,30.812,-84.921,Monarch Adult Sighted,2,1 at 12:55pm1at 3:55pm,"1,526,499,251"
,Site 9637,2020-12-29,30.616,-87.864,Monarch (OTHER Observations),1,"I reported a monarch crysallis in my yard a few days ago, and I wanted to add that dropped to 30 degrees, and everything froze, but the crysallis is still there, bright, healthy and beautiful as ever!","1,526,499,235"
,Site 8844,2020-12-29,30.447,-84.203,Monarch Adult Sighted,1,"3pm, 72 degrees, calm winds, purposeless flight. Sex uncertain. No picture.","1,526,499,241"
,Site 8375,2020-12-29,30.385,-86.318,Monarch Adult Sighted,1,"My husband spotted a Monarch flying over the Sandestin, Florida golf course this morning at 11:30am  The temp was 65o and sunny.  (He also saw a Cloudless sulphur perched in roses - he said there are very few flowers blooming there now.)His ability to ID a Monarch is excellent.  ","1,526,499,239"
,Site 11596,2020-12-29,32.047,-81.088,Monarch Adult Sighted,1,In and around yard,"1,526,499,256"
,Site 11596,2020-12-29,32.047,-81.088,Monarch Adult Sighted,1,In and around yard,"1,526,499,233"
,Site 10288,2020-12-29,31.041,-84.882,Monarch Adult Sighted,1,10:55 am1 at 11:241 At 1:11pm,"1,526,499,249"
,Site 15144,2020-12-29,33.035,-117.254,Monarch Adult Sighted,2,In backyard. ,"1,526,499,270"
,Site 15144,2020-12-29,33.035,-117.254,Monarch Adult Sighted,2,In backyard. ,"1,526,499,238"
,Site 5234,2020-12-29,29.802,-95.981,Monarch Larva Sighted,2,"There are 2 monarch chrysalises in my garden, near the milkweed.","1,526,499,242"
,Site 104475,2020-12-28,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 females/juveniles at our feeders today, all three different and observed at the feeders in the morning, mid day and near dusk","1,526,499,211"
,Site 4116,2020-12-28,29.549,-81.23,Monarch Larva Sighted,4,"3 in this photo, 1 on other branch.Survived two nights of below freezing temps.","1,526,499,202"
,Site 10288,2020-12-28,31.041,-84.882,Monarch Adult Sighted,2,1 at 12:55pm1at 3:55pm,"1,526,499,250"
,Site 98626,2020-12-28,31.055,-96.412,Hummingbird Sighting,2,The same two juveniles one female and one male continue to show up at my feeder every day for the last  three weeks.,"1,526,499,213"
,Site 4333,2020-12-28,29.588,-95.579,Monarch Adult Sighted,6,"Warm several days (highs in mid-70s).  Adult M/F Monarchs very active today: flying/swooping, resting, feeding on A. curassavica, zinnia elegans, mistflower, marigolds, Fireworks Gomphrena (pictured: on Conoclinium/Eupatorium greggii mistflower and French marigolds).","1,526,499,201"
,Site 3936,2020-12-28,29.495,-95.091,Monarch Adult Sighted,2,2 Monarchs mating. I have had several eclose the last couple of days. All my milkweed had been cut back but they seem to be surviving on new growth and stems. ,"1,526,499,209"
,Site 6908,2020-12-28,30.137,-84.238,Monarch Adult Sighted,7,7-10 monarchs seen at various places along the lighthouse road. They were flitting around making the count unreliable.It was 67 degrees and sunny after several days of cold.,"1,526,499,212"
,Site 7169,2020-12-28,30.179,-85.772,"Monarch, Captive-Reared",99,I released 58 today after cold spell.  Dec 21 12 girls 7 boysDec 22 7 girls 5 boysDec 23 4 girls 6 boysDec 28 58 released,"1,526,499,203"
,Site 6699,2020-12-28,30.076,-84.181,Monarch Adult Sighted,3,3 adult monarchs seen along walking path,"1,526,499,403"
,Site 17150,2020-12-28,33.651,-117.628,Monarch Adult Sighted,2,They appeared to be chasing each other for mating,"1,526,499,469"
,Site 6346,2020-12-28,30.007,-90.103,Monarch Adult Sighted,1,Single monarch flying around backyard.  ,"1,526,499,318"
,Site 6021,2020-12-28,29.992,-81.699,Monarch Adult Sighted,1,"I had monarch caterpillars since 11/17, 15-20 in total and have sighted 5+ monarchs. Latest sighting today","1,526,499,208"
,Site 5394,2020-12-28,29.836,-81.307,Monarch Adult Sighted,1,Flying high -- flew over my house -- heading north East,"1,526,499,284"
,Site 104475,2020-12-27,34.713,-76.968,Hummingbird Sighting,3,Observed 3 females/juveniles at our feeders today.  Feeding one at a time several times during the day,"1,526,499,179"
,Site 4116,2020-12-27,29.549,-81.23,Monarch Adult Sighted,3,2 were nectaring and the male sunning. Also brought inside 15 monarch caterpillars due to below freezing temps. The 15 are in different stages from 1/2â€ to 2â€.,"1,526,499,396"
,Site 4116,2020-12-27,29.549,-81.23,Monarch Adult Sighted,3,2 were nectaring and the male sunning. Also brought inside 15 monarch caterpillars due to below freezing temps. The 15 are in different stages from 1/2â€ to 2â€.,"1,526,499,258"
,Site 4116,2020-12-27,29.549,-81.23,Monarch Adult Sighted,3,2 were nectaring and the male sunning. Also brought inside 15 monarch caterpillars due to below freezing temps. The 15 are in different stages from 1/2Ã¯Â¿Â½ to 2Ã¯Â¿Â½.,"1,526,499,199"
,Site 96236,2020-12-27,29.954,-90.112,"Hummingbird, Other Species Sighted",3,The photo is of a calliope hummingbird.  We also have a ruby-throated hummingbird (since around 8 October 2020) and a buff-bellied hummingbird (since 20 November 2020).  The calliope first showed up around 22-27 November 2020 and is present off and on.,"1,526,499,576"
,Site 98364,2020-12-27,30.734,-96.718,Hummingbird Sighting,4,"I still have some Black-chin hummers.  Very unusual for my site.I have 3 feeders out, but there are no flowers out right now.There are probably bugs availible..","1,526,499,177"
,Site 100805,2020-12-27,32.899,-105.96,Hummingbird Sighting,2,"Today I still have a juvenile male Anna's and a juvenile Rufous... Right now they are both scarce... I see them guarding from the neighbor's trees... I have fresh, dye- free nectar always. I'm not a morning person but I get up early and change out feeders cuz it's so cold... So far only a couple of the feeders freeze occasionally but the weather is still fairly decent so I will not let them down... Their lives depend on it and I take it very seriously... ","1,526,499,193"
,Site 1527,2020-12-27,26.438,-81.798,Monarch Egg Sighted,1,1 egg sighted,"1,526,499,347"
,Site 1527,2020-12-27,26.438,-81.798,Monarch Egg Sighted,1, egg sighted,"1,526,499,346"
,Site 1527,2020-12-27,26.438,-81.798,Monarch Egg Sighted,2,2 eggs on leaf!,"1,526,499,345"
,Site 1523,2020-12-27,26.431,-81.811,Monarch Egg Sighted,1,1 egg on leaf,"1,526,499,344"
,Site 1522,2020-12-27,26.43,-80.156,Monarch Adult Sighted,1,at Morikami Gardens in Delray Beach,"1,526,499,206"
,Site 1552,2020-12-27,26.503,-80.066,Monarch Adult Sighted,3,"In my front yards, saw 3 adults - 2 mating, stuck in web in Christmas Palm.  I loosened web with a stick and they flew off.  The other adults was hovering around for a while.Since then I have often seen 1 flying in the front yard and 1-2 in the back yard.","1,526,499,465"
,Site 3444,2020-12-27,29.277,-94.812,Monarch Larva Sighted,2,"I had 8 larvae in total two weeks ago. I am now down to two larvae and 3 chrysalis have attached themselves around the porch steps. Expecting a Ã¯Â¿Â½birthÃ¯Â¿Â½ any day now. The other two are approx 7 days behind in development. I can see the outlines of wings so I know it will be soon. So love the Mondarchs, this is my first year and what a joy. In the Spring, I plan on making a cultivar garden in one section of my yard to promote the species, share it with my grandchildren and help by reporting my findings to your organization. Thanks for letting me participate. ","1,526,499,169"
,Site 2440,2020-12-27,28.072,-81.987,Monarch Adult Sighted,1,"Adult monarch sighted flying East of I-4 in Lakeland on December 27, 2020.  The temperature was 68 degrees with c lm ear skies.","1,526,499,175"
,Site 4050,2020-12-27,29.53,-95.2,Monarch (OTHER Observations),30,Approximately 30 Monarch caterpillars were removed from backyard into habitate and adult Monarch butterflies emerged.  ,"1,526,499,197"
,Site 4192,2020-12-27,29.564,-98.543,Monarch Larva Sighted,2,I found two Monarch caterpillars in the Hunters Creek Pollinator Garden (next to the tennis courts) feeding on Zizotes Milkweed.,"1,526,499,200"
,Site 3785,2020-12-27,29.46,-95.063,Monarch Larva Sighted,1,I found another chrysalis on one of my flower pots,"1,526,499,260"
,Site 7387,2020-12-27,30.224,-92.02,Monarch Adult Sighted,1,Saw one!,"1,526,499,176"
,Site 7344,2020-12-27,30.215,-95.623,Monarch Adult Sighted,1,Winter resident hanging around.  Mild & sunny.,"1,526,499,178"
,Site 9477,2020-12-27,30.574,-88.214,Monarch Adult Sighted,1,Adult female,"1,526,499,184"
,Site 9346,2020-12-27,30.543,-87.902,Monarch Larva Sighted,2,2 caterpillars week beginning 12/27/2020.  One died that day.  The other J'd 12/28 and was a chrysalis by 12/30.,"1,526,499,979"
,Site 5090,2020-12-27,29.769,-85.084,Monarch Adult Sighted,1,"I observed this monarch flying low in a sunny opening at the north end of Huckleberry Road within Box R Wildlife Management Area in Franklin county, FL, where the road dead-ends at the Jackson River. I did not get a good enough look to sex this individual as this was an incidental observation while I was conducting a solo Christmas Bird Count and was focused on identifying individuals in a small mixed flock of passerines when I spotted the monarch.The area where I made this observation is in relatively natural bottomland forest habitat other than the unpaved road, and is located on the natural levee at the edge of the river. There is nothing planted here to attract monarchs, nor do I recall observing any sort of plant  in bloom in this area. ","1,526,499,647"
,Site 5066,2020-12-27,29.762,-95.58,Monarch Adult Sighted,2,One monarch nectaring on milkweed. Another just emerging from chrysalis. Also several caterpillars on milkweed.,"1,526,499,190"
,Site 104475,2020-12-26,34.713,-76.968,Hummingbird Sighting,4,"Observed 4 females/juveniles at our feeders today.  3 we have seen before, 1 was unusual in that it had a white circle area near the top of each wing.  Saw the 3 others in the morning, mid day and dusk.  Dusk feeding was when we saw the white spotted hummer.","1,526,499,163"
,Site 3909,2020-12-26,29.485,-98.408,Monarch Larva Sighted,1,2nd instar larva on tropical  milkweed plant,"1,526,499,152"
,Site 3909,2020-12-26,29.485,-98.408,Monarch Adult Sighted,1,Flying around,"1,526,499,151"
,Site 3785,2020-12-26,29.46,-95.063,Monarch Larva Sighted,1,Hanging on a pot containing milkweed,"1,526,499,172"
,Site 3785,2020-12-26,29.46,-95.063,Monarch Adult Sighted,1,It was flying around in my yard and on milkweed flowers.  I also found a chrysalis,"1,526,499,171"
,Site 94634,2020-12-26,27.863,-82.099,"Hummingbird, Other Observations",2,Wow what a Christmas present. A pair of Rufous hummingbirds.I've never had them here before!!! Hopefully they'll get along with the Ruby's.,"1,526,499,145"
,Site 95921,2020-12-26,29.76,-95.37,"Hummingbird, Nectaring from Flowers",1,"Rufous still hete,  same routine  at 7 AM on south  side feeder for  25 min. Preening molting now  with more male  color coming in on back  area. Then chases songbirds  out in back where all salvias  listed in previous reports  are blooming more  because  of so much rain. I bring in 3 when cold front  freeze predicted.    After  having a satisfying  chase Rufous nectars all salvias.   This has been the toughest winter bringing  potted salvias in and out, they are getting bigger  because of weekly cold front rains.   It's  worth the trouble, he's a happy  little one.   There could be another  Rufous  as one looks different  at the kitchen  feeder west side. Haven't  seen any chase to confirm .Beverly L Houston ","1,526,499,161"
,Site 129703,2020-12-26,41.704,-69.99,Hummingbird Sighting,1,"We've had a few bad storms now, not a lot of snow fortunately, but heavy rains and 40+ mph winds.  My little trooper is hanging in there, and seems to be doing ok.  ","1,526,499,150"
,Site 1671,2020-12-26,26.834,-80.105,Monarch Larva Sighted,1,I saw one caterpillar in the garden.  No evidence of any others.  It was a fairly large one. ,"1,526,499,154"
,Site 1671,2020-12-26,26.834,-80.105,Monarch Egg Sighted,1,I saw two eggs in my milkweed garden today.  I took a photo of one of them. There is a cold snap here and it was in the 40's at night and mid sixties during the day. Not much butterfly activity.,"1,526,499,153"
,Site 1598,2020-12-26,26.586,-81.998,Monarch Adult Sighted,1,Monarch after emerging from chrysalis. ,"1,526,499,289"
,Site 2714,2020-12-26,28.453,-96.408,Monarch Adult Sighted,1,Nectaring on Copper Canyon Daisy in my native plant garden,"1,526,499,159"
,Site 2692,2020-12-26,28.436,-96.426,Monarch Adult Sighted,1,Flying across Maple Street.,"1,526,499,160"
,Site 2430,2020-12-26,28.064,-97.046,Monarch Adult Sighted,1,Perched in sunny spot in grass for several minutes before flying off.,"1,526,499,155"
,Site 2428,2020-12-26,28.063,-97.04,Monarch Adult Sighted,1,Flying under and over Live Oaks. Sighted 1:30 pm CST,"1,526,499,156"
,Site 2406,2020-12-26,28.046,-97.047,Monarch Adult Sighted,1,Flying along road and over thicket of Brazilian peppertrees. Sighted 2:26 pm CST.,"1,526,499,157"
,Site 2099,2020-12-26,27.796,-97.404,Monarch Egg Sighted,5,several eggs on different milkweed leaves at the South Texas Botanical Gardens after cool front before Christmas Day. Leaves collected for hatched Monarchs collected for the butterfly gardens,"1,526,499,282"
,Site 4658,2020-12-26,29.677,-95.139,Monarch Larva Sighted,13,Spread out among many tropical milkweed plants left free to grow. Most are probably at the 3rd to 5th instar stages currently. Hoping there will be enough milkweed to feed them all.,"1,526,499,148"
,Site 3581,2020-12-26,29.37,-95.083,Monarch Larva Sighted,3,Caterpillar 12/26/20,"1,526,499,147"
,Site 11452,2020-12-26,31.974,-80.243,Monarch Adult Sighted,1,"We winter at Fripp Island, SC and an adult monarch was spotted flying.   ","1,526,500,657"
,Site 16159,2020-12-26,33.303,-116.984,Monarch Adult Sighted,2,"I still have about 13 cryslis that need to come out. One live birth today, a female. Most of the births in my courtyard over the past two weeks have been male. They normally do not over winter here, but last year was the change up. Even after I cut my milkweed back, they hung out and laid eggs. I had four generations by the time the first generation normally comes back in late May. The winter generations are about 45/55 live vs defected. We have frost nearly every night.","1,526,499,162"
,Site 104475,2020-12-25,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 distinctly different juveniles/females at our feeders today, in the morning, midday and dusk.  Two were territorial midday, but all were fueling up as it's chilly in eastern nc","1,526,499,139"
,Site 3909,2020-12-25,29.485,-98.408,Monarch Larva Sighted,1,surprised to see a 3rdinstaron a tropical milkweed plant,"1,526,499,138"
,Site 94461,2020-12-25,26.902,-80.133,"Hummingbird, Nectaring from Flowers",2,These two hummingbirds have been around all week starting on 12/21/2020,"1,526,499,210"
,Site 99532,2020-12-25,32.118,-80.814,"Hummingbird, Nectaring from Flowers",1,hummer was enjoying the red salvia in my front yard.,"1,526,499,142"
,Site 2405,2020-12-25,28.046,-97.037,Monarch Adult Sighted,1,Flitting back and forth over Rockport Cemetery. Landed very briefly on winecup (Callirhoe sp). No milkweeds seen in vicinity.,"1,526,499,135"
,Site 3908,2020-12-25,29.485,-98.409,Monarch Adult Sighted,1,adult flying around,"1,526,499,137"
,Site 3732,2020-12-25,29.457,-94.642,Monarch Adult Sighted,2,"Santa brought 2 adults, one papae ","1,526,499,133"
,Site 19606,2020-12-25,34.217,-118.23,Monarch Egg (FIRST sighted),1,many eggs all over cut back native and non native mw thatâ€™s been growing back ,"1,526,506,766"
,Site 104475,2020-12-24,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 different females/juveniles at our feeders today.  All observed visiting in the morning, midday and dusk","1,526,499,125"
,Site 99658,2020-12-24,32.263,-110.84,"Hummingbird, Other Observations",4,"Still have Broadbill, Black Chinned, Costa and Anna Hummingbirds at feeders.","1,526,499,127"
,Site 1527,2020-12-24,26.438,-81.798,Monarch Egg Sighted,1,1 egg on leaf,"1,526,499,343"
,Site 1527,2020-12-24,26.438,-81.798,Monarch Egg Sighted,1,1 egg on milkweed leaf,"1,526,499,342"
,Site 1552,2020-12-24,26.503,-80.066,Monarch Adult Sighted,1,flying,"1,526,499,123"
,Site 94666,2020-12-24,27.949,-81.418,Hummingbird Sighting,1,A female/immature Ruby on the feeder. Around 9 am,"1,526,499,121"
,Site 1809,2020-12-24,27.25,-81.86,Monarch Larva Sighted,1,"Sighted and photographed by Jean Evoy on her yard at St Arcadia Fl, or 27.25N  -81.86W  on December 24, 2020.","1,526,499,961"
,Site 1525,2020-12-24,26.437,-81.798,Monarch Egg Sighted,1,I egg on milkweed,"1,526,499,341"
,Site 1493,2020-12-24,26.314,-80.155,Monarch Adult Sighted,1,1 seen on non flowering plant,"1,526,499,642"
,Site 1248,2020-12-24,25.93,-81.7,Monarch Adult Sighted,1,Adult monarch feeding on beach sunflower,"1,526,499,128"
,Site 4611,2020-12-24,29.665,-82.375,Monarch Adult Sighted,1,"Single adult on milkweed. After three light freezes most of the exposed milkweed has died back, but there are small clumps in microclimates around the yard.","1,526,499,482"
,Site 4608,2020-12-24,29.664,-82.376,Monarch Larva Sighted,2,2 larvae on small surviving clump of milkweed (after most plants froze). Similar sized.,"1,526,499,483"
,Site 6467,2020-12-24,30.033,-95.561,Monarch Larva Sighted,2,"Saw 2 large Monarch caterpillars on my tropical butterfly weed.  In my backyard at 1126 Cheddar Ridge Dr, Spring TX 77379.","1,526,499,215"
,Site 104475,2020-12-23,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 distinctly different female/juveniles at our feeders today. One had a flash of red on his neck.  All visited at least 3 times today, morning, mid day and dusk.","1,526,499,099"
,Site 4333,2020-12-23,29.588,-95.579,Monarch Egg Sighted,1,Sighted one egg on Asclepias curassavica (Silky Gold) - also pictured is a 4th instar larva feeding (sighting reported in a prior posting).,"1,526,499,083"
,Site 1552,2020-12-23,26.503,-80.066,Monarch Larva Sighted,3,"All 3 large, close to pupating.  On 2 different milkweed plants.","1,526,499,124"
,Site 2099,2020-12-23,27.796,-97.404,Monarch Adult Sighted,1,South Texas Botanical Gardens on a flowering milkweed plant.,"1,526,499,105"
,Site 99532,2020-12-23,32.118,-80.814,Hummingbird Sighting,1,Pretty sure the hummer I saw at my feeder was a female.  ,"1,526,499,112"
,Site 3908,2020-12-23,29.485,-98.409,Monarch Adult Sighted,1,adult nectaring,"1,526,499,130"
,Site 106084,2020-12-23,35.311,-120.828,"Hummingbird, Nectaring from Flowers",1,"On hibiscus tree, Valencia tree","1,526,499,110"
,Site 1736,2020-12-23,26.995,-82.125,Monarch Adult Sighted,2,2 Monarchs flying around each other along the hedges in front of my house.,"1,526,499,109"
,Site 1453,2020-12-23,26.251,-98.224,Monarch Adult Sighted,1,Saw a male Monarch feeding on mist flowers.,"1,526,499,104"
,Site 1560,2020-12-23,26.526,-80.055,"Monarch, Captive-Reared",2,"I raise Monarchs so I see them all the time.  I have released 30 so far this fall, 3 cats have died from black death and 1 was euthanized because of wing development. At the moment I do not have any eggs/cats.","1,526,499,080"
,Site 1243,2020-12-23,25.902,-80.334,Monarch Adult Sighted,1,"No pics, just fluttering by around 12:00 noon. Two sightings in 2 days! ","1,526,499,119"
,Site 3116,2020-12-23,28.919,-81.922,Monarch Adult Sighted,2,Nice sunny day in 70s.  Two Monarch appeared to be dancing in the air.,"1,526,499,118"
,Site 3046,2020-12-23,28.849,-97.069,"Monarch, Captive-Reared",2,Released 2 females,"1,526,499,100"
,Site 4969,2020-12-23,29.742,-95.373,"Monarch, Captive-Reared",23,"I was surprised to find caterpillars on the remnants of my milkweed. Found another source for cut milkweed for my mesh cage and kept finding more caterpillars. In all, I raised and released 23.  Hoping they made it to Mexico.","1,526,499,234"
,Site 4544,2020-12-23,29.65,-85.094,Monarch Adult Sighted,2,Nectaring on false rosemary (Conradina canescens) St. Vincent National Wildlife Refuge.  ,"1,526,499,092"
,Site 3991,2020-12-23,29.51,-81.219,Monarch Adult Sighted,2,"We presently see adults monarchs very regularly. Presently 2, one sunning one nectaring.  Also presently have 9 caterpillars in the butterfly garden. ","1,526,499,111"
,Site 3991,2020-12-23,29.51,-81.219,Monarch Adult Sighted,2,"We presently see adults monarchs very regularly. Presently 2, one sunning one nectaring.  Also presently have 9 caterpillars in the butterfly garden. ","1,526,499,088"
,Site 7683,2020-12-23,30.275,-81.592,Monarch Larva Sighted,52,Still lots of eggs and caterpillars. A few make it all the way.,"1,526,499,114"
,Site 9028,2020-12-23,30.475,-84.334,Monarch Larva Sighted,6,Small larvae on milkweed,"1,526,499,091"
,Site 11688,2020-12-23,32.118,-80.815,Monarch Adult Sighted,1,"Saw one monarch flying.  Skies were clear, temp around 65 degrees.","1,526,499,113"
