Status,Station Name,Observation Date,Latitude,Longitude,Water Type,pH,Nitrate,Nitrite,Hardness,Chlorine,Alkalinity,Other Observations
,friends pond,2022-10-23,36.9905,-121.91934,Pond,7.2,0,0,100,0,250,
,home,2022-10-23,53.2734,-7.77832,Rainwater,6.2,0,0,75,0,40,
,Home,2022-10-23,36.98206,-121.94042,Tap Water,7.8,0,0,300,0,7.8,
,home ,2022-10-23,36.98193,-121.98647,Pond,6.2,0,0.5,150,0,40,
,friends house,2022-10-23,36.9905,-121.9934,Tap Water,7.5,5,0,0,0,200,
,Aptos Creek,2022-10-23,36.98423,-121.90621,River,7.2,40,1,150,1,7.2,
,home.,2022-10-23,53.2734,-7.77832,Runoff,7.8,20,0.5,150,0,180,
,land of medicine buddah,2022-10-23,37.00519,-121.93918,Stream,8,5,0,300,0,300,none
,Soquel creek under bridge,2022-10-23,36.98905,-121.95519,River,8,0,0,150,0,180,
,Home,2022-10-23,53.2734,-7.77832,Tap Water,7.8,0,0,150,0,180,
,Soquel Creek,2022-10-23,36.99124,-121.95592,River,7.8,20,0,150,0.5,300,
,Westlake,2022-10-23,36.97637,-122.04554,,8.4,0,0,75,1,180,Ducks and geese in the water murky.
,house,2022-10-23,36.99932,-121.94261,Tap Water,8.4,10,0,150,0,180,
,Neary Lagoon,2022-10-23,36.96315,-122.03209,Lake,7.8,0,0,300,1,300,Ducks swimming in clean water.
,Well water,2022-10-23,37.05308,-121.93147,Well,8.3,0,0,300,0,260,
,Watsonville creek,2022-10-23,36.9349,-121.74286,,8.4,30,0.5,75,0,120,
,Soquel creek,2022-10-23,36.988818,-121.955772,Stream,8.4,0,0,300,0.5,300,
,Soquel Creek,2022-10-23,36.99133,-121.95585,Stream,8.4,15,0,150,0.5,300,The water wasn't clear it had a little tint of color to it
,Well water,2022-10-23,37.05046,-121.9287,Tap Water,8.1,0,0,0,0,240,
,Pinto Lake,2022-10-23,36.95079,-121.76798,,8.4,20,0.5,150,0,180,
,Soquel Creek,2022-10-23,36.98558,-121.9554,Stream,8.4,0,0,300,0.5,300,Low clear water.
,Soquel creek ,2022-10-23,36.98669,-121.95561,Stream,7.8,0,0,300,0,300,
,Home,2022-10-23,36.91841,-121.74528,,7.8,0,0,150,0,100,
,nisene river,2022-10-23,36.98189,-121.90514,River,7,60,3,200,1,180,
,olive springs,2022-10-23,37.05489,-121.93161,Stream,6.9,0,0,60,0,90,its a spring
,Land Of Medicine BUddha,2022-10-23,36.942802,-121.773147,,8,5,0,300,0,300,
,house,2022-10-23,36.9905,-121.91934,Pond,7.2,0,0,100,0,250,
,creek water,2022-10-23,36.98827,-121.93829,,6.2,80,3.5,150,0,80,pretty stagnant
,Watsonville creek,2022-10-23,35.011495,-130.96548,,8.4,30,0.5,75,0,100,
,LMB,2022-10-23,37.00897,-121.93684,Stream,8,5,0,300,0,300,
,House,2022-10-23,36.98596,-121.93235,Tap Water,6.8,0,0,0,0,40,
,Pinto Lake,2022-10-23,36.95079,-121.76798,,8.4,20,0.5,150,0,180,
,Rain Water On Property,2022-10-22,37.04573,-121.93775,Rainwater,8.4,0,10,75,0,300,
,Well water,2022-10-22,37.04573,-121.97758,Well,7.8,0,10,75,0,300,
,Pinto Lake,2022-10-22,36.96009,-121.77064,Lake,7.6,0,0,150,0,180,"There were animals such as cranes and ducks in the water. The water was extremely murky, and there was signs of eutrophication. "
,My House,2022-10-22,37.04569,-121.93788,Tap Water,7.8,0,0,75,0,300,
,Starbucks Water,2022-10-21,36.9156,-121.77499,Tap Water,8.4,0,0,75,0,80,This Starbucks is around a lot of other businesses and is in the middle of town.
,My House,2022-10-21,36.82534,-121.70778,Tap Water,7.2,0,0,75,0,120,My house is near trees and is on a hill.
,Soquel Creek,2022-10-21,36.97162,-121.9519,Pond,7.8,0,0,300,0,300,"There were a lot of leaves, rocks and dirt around the creek."
,aptos creek,2022-10-21,36.99425,-121.90643,Stream,6.8,20,0.5,25,0,180,
,My house,2022-10-21,36.994667,-121.956706,Tap Water,7.8,0,0,0,0,300,
,fridge water,2022-10-20,36.9748,-121.98737,Tap Water,6.8,0,0,75,0,180,none.
,my house,2022-10-20,36.97483,-121.98749,Tap Water,6.8,0,0,75,0,180,
,tap water,2022-10-20,36.99649,-121.91372,Tap Water,7.2,0,0,0,0,120,
,hot tub ,2022-10-20,36.99647,-121.91385,Tap Water,7.8,20,0,0,0,120,
,Tap Water form my House ,2022-10-19,36.92713,-121.7809,Tap Water,7.2,0,0,150,0,300,
,Upstream Soquel CreeK,2022-10-19,36.99073,-121.956,,7.8,0,0,300,0,300,
,Soquel Creek ,2022-10-19,36.99129,-121.95569,Stream,8.4,0,0,300,0,300,
,backhouse sink,2022-10-06,36.97486,-121.98749,Tap Water,6.2,0,0,150,0,180,
,"Tezpur, Parvati Nagar",2022-10-02,26.627562,92.771499,Tap Water,6.2,20,0,150,0,80,
,Ben Franklin HS TURTLE TANK ,2022-09-29,39.232389,-76.594145,Pond,6.2,200,1,300,0,0,Turtle tank at Ben Franklin @ Masonville Cove. Water has mild turbidity. pH pad on test strip was yellow. Water is likely more acidic than test parameters were able to measure. 
,Ben Franklin HS tap water ,2022-09-29,39.232389,-76.594145,Tap Water,6.2,0,0,25,0,80,
,Patterson Park boat lake,2022-09-26,39.29215,-76.57793,Pond,8.4,0,1,75,0,80,lots of small aquatic plant growth
,Gilmor and Pratt Street ,2022-09-21,39.285178,-76.642034,Tap Water,7.2,0,0,75,0,7.2,
,Sky High Ranch Upper Pond,2022-08-27,39.08368,-105.09752,Pond,6.7,1.57,0.04,69.92,0.5,60.48,
,Snoqualmie River,2022-08-04,47.526275,-121.815644,River,6.2,0,0,75,0,0,
,Lake Sammamish,2022-08-04,47.60235,-122.08868,Lake,6.2,0,0,75,1,80,
,Issaquah,2022-08-04,47.5301,-122.03439,Pond,6.2,0,10,300,0,120,
,Mjeidel,2022-07-04,33.521742,35.438748,Stream,,,,,,,
,Lake Sammamish,2022-06-12,47.60235,-122.08868,Lake,6.2,0,0,25,0,80,
,Cedar River,2022-06-12,47.50066,-122.21623,River,6.2,0,0,0,0,0,
,lake washington,2022-06-11,47.566002,-122.189891,Lake,6.8,0,0,75,0,40,
,station Bellevue,2022-06-11,47.571703,-122.171813,Tap Water,6.2,0,0,25,0,40,
,"Lake Holly North, VA, USA",2022-06-02,36.840037,-75.977546,Lake,6.8,0,0,300,0,80,
,Soquel Creek,2022-05-30,36.97261,-121.95334,River,8.1,0,0,300,0.5,220,
,Danbury. ct,2022-05-28,41.385274,-73.459232,Tap Water,7.2,10,0,75,0,120,
,"Mapusa-Moira Rd, Moira, Goa",2022-05-27,15.59439,73.83427,Pond,7.8,0,0,150,0,300,
,"Mapusa-Moira Rd, Moira, Goa",2022-05-26,15.59439,73.83427,River,6.8,0,0.5,300,0,40,
,"Casa Frangipani, Quitula, Aldona, Goa",2022-05-26,15.60514,73.87503,Tap Water,6.2,20,0,0,0,40,Alkalinity 6.2
,"Guirim,Goa",2022-05-26,15.57492,73.79762,Runoff,6.2,20,0,75,0.5,40,
,casa frangipani quitula,2022-05-26,15.60141,73.87574,Well,6.2,0,0,0,0,0,
,"Naicavaddo, Aldona, goa  ",2022-05-26,15.58494,73.86588,Well,6.2,0,0,0,0,40,
,Masters School,2022-05-25,41.010856,-73.869812,River,7.8,10,0,300,0.5,180,
,Masters School,2022-05-25,41.010856,-73.869812,Stream,6.8,10,0,300,0,100,
,Masters School,2022-05-25,41.010856,-73.869812,Stream,8.4,0,0,300,0,120,wooded area; water coming out of pipes
,Masters School,2022-05-24,41.010856,-73.869812,Tap Water,6.2,0,0,25,0,75,clear tap water
,"Scarsdale, NY",2022-05-24,40.98823,-73.79681,Tap Water,4,0,0,25,0.1,0,
,"Somers, NY",2022-05-24,41.327559,-73.687263,Tap Water,6.8,15,0,0,0,120,
,"Tenafly, NJ",2022-05-24,40.92768,-74.113113,Tap Water,7.2,0,0.5,150,0,80,
,"Maple Valley, WA",2022-05-23,47.39393,-122.04526,Tap Water,8.4,0,0,75,0,80,
,Bastora ,2022-05-19,27.055,76.1594,Tap Water,6.2,0,0,0,0,0,
,Bastora,2022-05-19,27.055,76.1594,Tap Water,6.2,0,0,0,0,0,
,house ,2022-05-18,36.96274,-121.99294,Tap Water,6.8,0,0.5,15,0,18,
,Shwan Lagoon ,2022-05-18,36.96233,-121.99702,Lake,7.8,0,0.5,150,0,180,
,Corcoran Lagoon,2022-05-18,36.960849,-121.982142,Pond,8.4,0,0,300,0,180,
,Corcoran Lagoon ,2022-05-18,36.96233,-121.97885,Lake,8.4,0,0,300,0,180,
,Newport RI - Home,2022-05-08,41.4948,-71.308069,Tap Water,6.8,0,0,75,0.5,40,Tap water from my kitchen sink.
,Newport RI - Home,2022-05-08,41.4948,-71.308069,Pond,1,0,10,100,6,100,Test Observation
,ceramics faucet,2022-05-05,36.9889,-121.95952,Tap Water,7.2,0,0,150,0,40,
,Soquel Creek under bridge,2022-05-05,36.99115,-121.95578,Stream,8.4,0,0,300,0.5,300,
,Well water in Soquel,2022-05-05,37.00821,-121.97179,Well,6.8,0,0,75,0,120,
,room 223,2022-05-05,36.98961,-121.95916,Tap Water,8,0,0,300,0,300,
,my house,2022-05-05,36.96785,-121.98057,Tap Water,7.2,0,0,75,0,180,
,my house,2022-05-05,36.96785,-121.98057,Tap Water,7.8,0,0,50,0,180,this was from a water filter
,house near soquel high school ,2022-05-05,36.98533,-121.96144,Tap Water,7.2,0,0,75,0,240,
,residential house,2022-05-05,36.89312,-121.98147,Tap Water,7.4,20,0,150,0,180,
,ceramics class faucet ,2022-05-04,36.98903,-121.95949,,6.8,0,0,0,0,8.4,
,Tap,2022-05-04,36.96996,-121.89625,Tap Water,7.2,0,20,150,0,180,
,womp womp,2022-05-04,36.98834,-121.94497,Tap Water,6.2,0,0,0,0,0,distilled water 
,womp womp,2022-05-04,36.98834,-121.94497,Stream,7.8,0.5,0,300,0,300,
,water,2022-05-04,36.98545,-121.9596,Tap Water,7.2,0,0,0,0,180,
,Aptos Creek,2022-05-04,36.98469,-121.90647,Stream,7.8,0,0,150,0,180,
,residential tap water ,2022-05-04,36.96525,-121.96808,Tap Water,6.8,0,0,75,,180,clean water 
,Monterey Vista Dr,2022-05-04,36.91336,-121.77503,Tap Water,8.4,20,0,0,0,180,Bathroom sink
,Soquel creek ,2022-05-04,36.982938,-121.959406,River,8.4,0,0,300,0,300,water was dirty 
,Creek by play it again sports,2022-05-04,36.98784,-121.45561,Stream,8.4,0,0,300,0,180,
,capitola by new brighton,2022-05-04,36.98118,-121.94191,Tap Water,7.8,0,0,150,0,180,
,soquel creek,2022-05-04,36.9864,-121.9557,Stream,7.8,0,0.5,300,0,300,not running very much. waters somewhat clear.
,soquel creek,2022-05-04,36.9864,-121.9557,Stream,8.4,0,0.5,75,0.5,300,
,Corcoran Lagoon,2022-05-04,36.961,-121.9825,Lake,7.8,20,1,300,0.5,300,
,Tap Water,2022-05-04,36.9893,-121.94662,Tap Water,7.2,0,0,75,0,180,
,Soquel Creek,2022-05-04,36.979888,-121.957778,Stream,7.8,0,0,150,0,300,Slow moving part of the river
,Tap Water,2022-05-04,36.96541,-121.9685,Tap Water,6.8,0,0,0,0,0,
,Site 244,2022-05-04,36.99491,-121.960623,Tap Water,6.8,0,0,75,0,180,Scaling
,Plant Rain Water,2022-05-04,36.97908,-121.94505,,8.4,0,0,150,0.5,300,This water had plant water and fertilizer in it.
,Capitola,2022-05-04,36.973705,-121.968515,River,8.4,0,0,300,0,235,"Very slight brown tint, a few specs. "
,Residential Area,2022-05-04,36.97751,-121.95877,Tap Water,7.2,0,0,75,0,120,
,Corcoran Lagoon,2022-05-04,36.962109,-121.981579,Lake,8.4,20,1,300,0.5,300,brownish water with little bugs floating around in it
,House,2022-05-04,36.97063,-121.96587,Tap Water,7.2,0,0,300,0.25,235,"Water is very clear, slight scent of chlorine, no specs. "
,House,2022-05-04,36.97063,-121.96587,Rainwater,6.2,0,0,75,0.25,95,"Water is dark in color, many little specs. "
,house,2022-05-04,36.98991,-121.99012,Tap Water,6.2,0,0,75,0.5,300,
,Capitola Lagoon,2022-05-04,36.971436,-121.951544,Stream,8.4,0,0.5,300,0.5,300,This is the time where the lagoon flows into the ocean
,house,2022-05-04,36.98991,-121.99012,Tap Water,6.8,0,0,75,0,0,
,home,2022-05-04,36.9731,-121.89866,Tap Water,8.4,0,0,75,0,300,
,Soquel High School,2022-05-04,36.99085,-121.95945,Lake,6.2,10,1,150,0.5,180,
,Soquel High School,2022-05-04,36.99085,-121.95945,Tap Water,8.4,0,0,300,1,180,
,Aptos Creek ,2022-05-04,36.97698,-121.90436,Stream,7.6,0,0,300,0.5,350,
,a house,2022-05-04,36.9855,-121.95024,Tap Water,7.8,20,0,75,0,180,very delicious well enjoyed while playing MLB the show and watching YouTube by users
,Aptos Creek ,2022-05-04,36.9779,-121.90501,Stream,7.8,0,0,300,0,180,
,Corcoran Lagoon,2022-05-03,36.960849,-121.982142,River,7.8,0,0,300,0,120,"Some areas covered with a brown/green layer on top of water, directly in sunlightlight "
,room 223,2022-05-03,36.98961,-121.95916,Tap Water,7.2,20,0,75,0,120,
,room 223,2022-05-03,36.98961,-121.95916,Lake,7.8,0,0,300,0.5,180,
,house near soquel high school ,2022-05-03,36.98533,-121.96144,Tap Water,7.2,0,0,0,0,180,
,Soquel Creek,2022-05-03,37.09024,-95.71289,River,7.2,0,0,75,0,120,creek
,Soquel Creek,2022-05-03,37.09024,-95.71289,Stream,7.8,0,0,300,0,300,sediment particles in the water
,Soquel Creek,2022-05-03,36.98678,-121.95571,River,6.8,20,1,150,4,120,
,my house,2022-05-03,37.00091,-121.85,Tap Water,7.2,0,0,150,0,180,
,Water from Soquel creek ,2022-05-03,36.98648,-121.95513,River,7.8,0,0,300,0,180,The water came from Soquel creek where the water flows behid the Discovery Preschool 
,some barrel full of old ass rain water ,2022-05-03,37.05405,-121.95689,Tap Water,6.2,0,0,150,0,40,it was just some barrel with a hose in it it had like sawdust and other tree debris in it
,aptos tap water,2022-05-03,36.98273,-121.92117,Tap Water,8.4,0,0,0,0,300,
,moore creek,2022-05-03,37.053539,-121.955373,Stream,6.8,0,0,75,0,120,slow moving creek with man made tunnel bringing water from the creek on the other side
,my house,2022-05-03,37.00091,-121.85,Tap Water,8.4,20,0,300,0.5,300,
,Capitola Tap Water,2022-05-03,36.97908,-121.94505,Tap Water,7.2,20,0,75,0,120,
,Soquel Creek,2022-05-03,36.98667,-121.95542,Stream,7.8,0,0,300,0.5,180,
,Neary Lagoon Park,2022-05-03,36.96371,-122.03532,Stream,8.3,0,0,300,0.5,180,
,Water Store,2022-05-03,37.09024,-95.71289,Tap Water,6.2,0,0,0,0,0,purified water
,Soquel Creek,2022-05-03,36.95701,-121.97722,Stream,7.9,0,0,300,0.5,180,
,Soquel Creek,2022-05-03,36.986771,-121.955891,Stream,7.8,0,0,75,0,180,"A lot of trees near on sides of creek, sunlight in some areas, other areas covered by trees"
,soquel creek,2022-05-03,36.96412,-121.97057,Stream,6.2,0,0,15,0,80,
,dont go to my house please,2022-05-03,36.984695,-121.960421,Tap Water,7.2,0,0,0,0,180,tasted yum
,Neary Lagoon,2022-05-03,36.963879,-122.030811,Pond,7.8,0,0,300,0.5,300,murky
,room 223,2022-05-02,36.98961,-121.95916,Stream,6.8,0,0,0,0,8.4,
,House,2022-05-02,36.97063,-121.96587,Tap Water,7.8,0,0,0,0,300,
,Soquel Creek,2022-05-02,36.98678,-121.95571,River,7.2,0,0.5,150,1,300,
,Soquel Creek,2022-05-02,36.98678,-121.95571,Stream,7.2,50,1,75,0,200,"cloudy weather, clear water"
,Soquel Creek,2022-05-02,36.98678,-121.95571,River,7.2,0,0.5,150,1,300,
,Capitola Tap Water,2022-05-02,36.97908,-121.94505,Tap Water,8.4,40,0.5,150,1,180,
,room 223,2022-05-02,36.98,-121.95,,6.8,0,0,0,0,8.4,
,soquel creek behind quick stop,2022-05-02,36.99079,-121.94191,Stream,8.4,0,0,300,0.5,180,
,River water,2022-05-02,36.97164,-121.95263,,7.8,0,0,150,0,120,The water was brown and looked dirty.
,aptos creek,2022-05-02,36.97788,-121.90478,River,7.8,0,0,300,0,180,
,soquel creek,2022-05-02,36.98679,-121.95601,River,7.8,0,0,300,0,180,
,go to her house,2022-05-02,36.98498,-121.90478,Tap Water,7.8,0,0,180,0,180,
,Soquel Creek,2022-05-02,33.06256,-104.21401,Stream,7.8,0,0,300,0,300,took the sample near pipe going into the water
,Parra,2022-05-01,15.57208,73.79175,Tap Water,7.2,0,0,0,0,0,
,Parra,2022-05-01,15.57208,73.79175,Tap Water,6.8,0,0,0,0,0,
,Rainy rusty spit bucket,2022-05-01,36.97908,-121.94505,,8.4,50,0.5,150,1,180,This water was clear but very dirty
,Rainwater in soquel,2022-05-01,36.99875,-121.94811,Rainwater,6.2,0,0,0,0,0,
,Soquel ,2022-05-01,36.992576,-121.94815,Tap Water,7.8,0,0,150,0,180,The water came from my tap at home. I live in Soquel
,blue ball park water fountian,2022-05-01,36.9951,-121.96192,Tap Water,7.2,0,0.5,150,1,300,tatses fine. not too cold
,hot tub,2022-05-01,36.99795,-121.960112,Tap Water,8.4,0,0,150,1,300,"88 degrees, waters clear"
,Branciforte Creek,2022-05-01,37.0127,121.99984,Stream,6.8,28,0.3,18,0.2,225,
,Tap Water,2022-05-01,36.9783,-121.98465,Tap Water,6.8,0,0,75,0,120,This was Tap Water.
,Soquel Creek,2022-05-01,36.98678,-121.95571,Stream,6.5,20,0.1,20,0,200,
,San Lorenzo River,2022-05-01,36.96588,-122.01302,River,7.2,0,0,300,1,180,There was algae/moss in the San Lorenzo River
,Moran lake ,2022-04-30,36.95694,-121.97672,Lake,8.3,0,0,200,0,80,
,Corcoran Lagoon,2022-04-30,36.96107,-121.98226,Rainwater,7.5,0,0,300,0,80,
,San Lorenzo River,2022-04-30,36.9865,-121.95516,River,7,35,0.6,22,0.4,240,
,womp womp,2022-04-28,36.98834,-121.94497,Tap Water,8.4,0,0,0,0,180,filtered
,Soquel Creek,2022-04-28,36.98678,-121.95571,Stream,6.8,0,0,75,0,180,
,Soquel Creek,2022-04-28,36.98678,-121.95571,River,7.8,0,0,150,0,300,"River moving pretty slowly, a little algae"
,Twin Lakes ,2022-04-28,36.9675,-121.998,Lake,6.8,0,0.5,75,0.5,80,smelled terrible 
,Creek near Lynda's house ,2022-04-28,36.96412,-121.97057,Stream,6.2,0,0,15,0,80,near sewers 
,Schwan Lake,2022-04-28,36.96639,-121.99437,Lake,6.2,0,0,75,0,100,"Smelled very bad, and it had very tall grass all around"
,Schwan Lake,2022-04-28,36.96639,-121.99437,Lake,6.2,0,0,75,0.5,40,
,Residential Stream,2022-04-28,36.96412,-121.97057,Stream,6.2,0,0,75,0,40,
,Tiny stream,2022-04-28,36.96412,-121.97057,Stream,6.8,0,0,75,0,80,Looked very dirty
,Soquel Creek ,2022-04-28,36.98678,-121.95571,Stream,6.2,0,0,150,0,300,a little bit of algae in the water 
,"Lake Holly North, VA, USA",2022-04-27,36.840037,-75.977546,Lake,6.8,0,0,300,0,40,
,room 223,2022-04-27,36.98,-121.95,Tap Water,7.8,0,0,150,0,180,water is considered hard water
,Tap Water,2022-04-26,36.96541,-121.9685,Tap Water,7.2,0,0,150,0,80,
,Creek,2022-04-26,36.98626,-121.96531,Stream,7.1,0.08,0.09,12,4,210,
,Puddle,2022-04-26,36.98727,-121.96293,Rainwater,5.3,4.5,0.12,4,0.3,150,
,Hose Water,2022-04-26,36.98727,-121.96293,Tap Water,7.2,10,1,65,3,130,
,"house
",2022-04-26,36.98727,-121.96293,Tap Water,7.5,10,1,68,4,110,
,Foxs Pond,2022-04-18,40.907113,-74.516358,Pond,6.2,0,0,75,0.5,80,"Animals live in pond (fish, geese, swans)"
,Rockaway River,2022-04-18,40.920546,-74.491411,River,6.2,0,0,75,0,80,Trash in the river
