Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Status,Station Name,Observation Date,Latitude,Longitude
07:50 pm,07:53 pm,16.67,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Richfield,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,vernal pool just inside the woodline along the utility right of way,,,Furnace Run Vernal Pool Complex,2021-03-27,41.272258,-81.641693
07:50 pm,07:53 pm,16.67,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Richfield,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,vernal pool just inside the woodline along the utility right of way,,,Furnace Run Vernal Pool Complex,2021-03-27,41.272258,-81.641693
10:00 pm,10:03 pm,18.33,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-03-27,38.867179,-78.223686
08:35 pm,08:38 pm,22.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Irmo,Richland,South Carolina,Urban,Pond,Human-made,Permanent,Pond,Pond around the Chestnut Hill Plantation club house and park,Pull into the clubhouse parking lot.,,Chestnut Hill Plantation Club House Pond,2021-03-27,34.122677,-81.137681
08:20 pm,08:23 pm,13.2,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Westborough,Worcester,Massachusetts,,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,,"Take route 495 north to exit 6B route 1495 north toward Worcester,MA. Take exit 21A onto W. Main Street Hopkinton MA. Turn left onto route 135 W/Wood street. Travel 3.8 miles. Turn left onto Belknap street. Follow to end. Turn left onto Upton Road and travel 1.1 miles. Site on left.",,Friendship House backyard,2021-03-27,42.2305,-71.6059
04:26 pm,04:29 pm,15,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Akron,Summit,Ohio,Created pond; newly created wetland to handle run-off in arboretum,[AZA - no date_registered; assumed 2010],Human-made,Not Known,Precipitation or Runoff,,,,Nature Realm Wetland Complex #8220,2021-03-27,41.0822,-81.3432
04:26 pm,04:29 pm,15,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Akron,Summit,Ohio,Created pond; newly created wetland to handle run-off in arboretum,[AZA - no date_registered; assumed 2010],Human-made,Not Known,Precipitation or Runoff,,,,Nature Realm Wetland Complex #8220,2021-03-27,41.0822,-81.3432
09:00 pm,09:03 pm,13.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Medium Rain,,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Thunder storms.,Syracuse,Kosciusko,Indiana,Suburban,Bog or Fen,,Permanent,Precipitation or Runoff,1.48 acres of Freshwater Emergent Wetland,"Corner of Chicago St & S Harkless Drive, Syracuse, IN  46567",,Duckblind,2021-03-27,41.418285,-85.74091
10:06 pm,10:09 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Buffalo,Erie,New York,Gravel road,Pond,Human-made,Permanent,Stream or River,,"77 Honorine Drive
Depew 14043

formerly named ""Reinstein Woods 1""",,Heron Pond (1),2021-03-27,42.8881,-78.7174
09:15 pm,09:18 pm,9.44,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Guilford,New Haven,Connecticut,Urban,Swamp or Woodland Swamp,Not Known,Permanent,Not Known,,,,Schoolside Lane Swamp,2021-03-27,41.309937,-72.712847
09:53 pm,09:56 pm,7.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Depew,Erie,New York,gravel road,Pond,Human-made,Permanent,Pond,,"77 Honorine Dr
Depew 14043",,Flattail Lake (4),2021-03-27,42.8863,-78.7206
09:42 pm,09:45 pm,7.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Depew,Erie,New York,gravel road,Vernal Pool,Human-made,Temporary Some Years,Precipitation or Runoff,,"77 Honorine Drive
Depew 14043",,Vernal Pool (3B),2021-03-27,42.8863,-78.7186
09:26 pm,09:29 pm,8.33,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Depew,Erie,New York,gravel road,Pond,Human-made,Permanent,Pond,,"77 Honorine Dr
Depew NY 14043",,Green Heron Pond (8),2021-03-27,42.8893,-78.7187
09:12 pm,09:15 pm,12.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Willoughby,,Ohio,Rural,Pond,Not Known,,Pond,"pond used to be called Duck pond, right behind nature center",,,Sunset Pond,2021-03-27,41.56144,-81.436
09:21 pm,09:24 pm,12.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Mayfield,Cuyahoga,Ohio,Suburban,Vernal Pool,Artifically Altered,Permanent,Groundwater,,,,Vernal Pool,2021-03-27,41.561,-81.434
,,,,,,,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Lenox,,Massachusetts,Suburban,Freshwater Marsh,Natural,Permanent,Not Known,,,,Tanglewood Institute,2021-03-27,42.355281,-73.292461
,,,,,,,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Lenox,,Massachusetts,Suburban,Freshwater Marsh,Natural,Permanent,Not Known,,,,Tanglewood Institute,2021-03-27,42.355281,-73.292461
09:00 pm,09:03 pm,13.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Olmsted Township,Cuyahoga,Ohio,Cleveland Metroparks property,Swamp or Woodland Swamp,Not Known,Temporary Every Year,Stream or River,Rocky River Reservation,,,Lagoon Wetlands,2021-03-27,41.40171,-81.88494
08:43 pm,08:46 pm,6.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Saint Clair ,Saint Clair,Michigan,Rural,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,"Flood pond next door, flooded yard at site, empty field across the street","I-94 to Fred Moore Hwy, East to Allington, North to Trumble Road, East to 6750",,Home (St. Clair),2021-03-27,42.83065,-82.58531
08:37 pm,08:40 pm,13.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Holly,Oakland,Michigan,Rural,Vernal Pool,Natural,Temporary Some Years,Precipitation or Runoff,,"Park in driveway at 11622 Milfrd Rd, Holly, mI 48442.  Walk behind the garge and straight back along the right side of the property to the swampy area on the right",,Papa's Swamp,2021-03-27,42.76685,-83.61979
09:03 pm,09:06 pm,12.78,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Much Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Stow,Summit,Ohio,,Swamp or Woodland Swamp,Artifically Altered,Permanent,Not Known,,Spell rd.  walk west on bike and hike trail approximately 100 yds.  wetland just past welcome to summit co. sign.,,Bike and Hike Young Road,2021-03-27,41.189,-81.3951
08:34 pm,08:37 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping","saw opossum, deer and raccoon ",Erie ,ERie,Pennsylvania,State Park,Freshwater Marsh,Natural,Permanent,Pond,,"East Pier, Presque Isle State Park.  ",,Presque Isle State Park,2021-03-27,42.1531,-80.1089
05:50 am,05:53 am,17.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Barton,Phillips,Arkansas,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,At Lick Creek trail head at Delta Heritage Trail State Park,"South of Barton, AR on Hwy 85 ",,Lick Creek Barton,2021-03-27,34.533889,-90.769077
08:15 pm,08:18 pm,11.11,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Stow,Summit,Ohio,,Swamp or Woodland Swamp,Artifically Altered,Permanent,Not Known,,Spell rd.  walk west on bike and hike trail approximately 100 yds.  wetland just past welcome to summit co. sign.,,Bike and Hike Young Road,2021-03-26,41.189,-81.3951
04:58 am,05:01 am,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Barton,Phillips,Arkansas,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,At Lick Creek trail head at Delta Heritage Trail State Park,"South of Barton, AR on Hwy 85 ",,Lick Creek Barton,2021-03-26,34.533889,-90.769077
08:43 pm,08:46 am,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,,,Ohio,Suburban,Pond,Artifically Altered,Permanent,Precipitation or Runoff,,,,Orange,2021-03-26,40.176545,-83.034239
09:04 pm,09:07 pm,17.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Lewis Center,Delaware,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Precipitation or Runoff,Wooded area between two coves that split off from the sailboat docks near the sail club - remains wet in that area most of the spring and into summer due to low points,Off Lewis Center Rd inside Alum Creek State Park near the sailing club cove- take 2nd right once entering park and stop at first pull-off area from road,,Alum Creek Sail Cove,2021-03-26,40.19943,-82.9785
08:27 pm,08:30 pm,15.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Cumberland,,Rhode Island,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,"Small vernal pool that dries up in late summer, remains mostly dry throughout autumn, and fills back up in winter and spring. Visible from the end of Nicholas Dr. (and my backyard). Sometimes dries up into two small water bodies separated by a small raised area of land while, other times, dries up completely. ","Get on RI-10 N from Rose Ave and Elmwood Ave

Follow I-95 N, RI-146 N and I-295 N to RI-114 N in Cumberland. Take exit 22 from I-295 N

At the traffic circle, take the 3rd exit onto RI-114 N
0.2 mi

At the traffic circle, continue straight to stay on RI-114 N
2.3 mi

Turn right onto RI-120 E
1.0 mi

Turn left onto N Attleboro Rd
0.5 mi

Turn right onto White Pine Dr
0.1 mi

Turn right onto Bishop Dr
420 ft

Turn right onto Nicholas Dr. 

The pool is located directly at the end of Nicholas Dr. (which is a dead-end road) ",,Dead End Oasis,2021-03-26,41.98029,-71.38344
08:06 pm,08:09 pm,18.33,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Gaithersburg,Montgomery,Maryland,Suburban,Pond,Human-made,Permanent,Pond,Retention pond at edge of neighborhood. Also 30 meters away is a swampy area along a stream in Malcolm King Park. ,Located behind townhouse numbers 519 - 535 Coral Reef Drive.,,Park Summit neighborhood/Malcolm King Park,2021-03-26,39.123817,-77.209875
08:27 pm,08:30 pm,11.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Norton,Summit,Ohio,,Pond,Human-made,Permanent,Pond,,"Drive to Silver Creek Metro Park, 5000 Hametown Road, Pheasant Run Parking lot (first lot on the right from Hametown Rd entrance), Norton, Ohio.  Take Chippewa trail across parkway (south) about 1500 feet to Piney Pond.  Listen from edge of pond.",,Silver Creek - Piney Pond,2021-03-26,40.9936,-81.6775
08:27 pm,08:30 pm,11.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Norton,Summit,Ohio,,Pond,Human-made,Permanent,Pond,,"Drive to Silver Creek Metro Park, 5000 Hametown Road, Pheasant Run Parking lot (first lot on the right from Hametown Rd entrance), Norton, Ohio.  Take Chippewa trail across parkway (south) about 1500 feet to Piney Pond.  Listen from edge of pond.",,Silver Creek - Piney Pond,2021-03-26,40.9936,-81.6775
08:53 pm,08:56 pm,11.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Norton,Summit,Ohio,,Pond,Human-made,Permanent,Pond,,"Drive to Silver Creek Metro Park, 5000 Hametown Road, Pheasant Run Parking lot, Norton, OH.  Take Pheasant Run trail to the east towards pond.  Listen for frogs at the northeast end of the pond.",,Silver Creek - Pheasant Run Pond,2021-03-26,40.9989,-81.6741
08:53 pm,08:56 pm,11.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Norton,Summit,Ohio,,Pond,Human-made,Permanent,Pond,,"Drive to Silver Creek Metro Park, 5000 Hametown Road, Pheasant Run Parking lot, Norton, OH.  Take Pheasant Run trail to the east towards pond.  Listen for frogs at the northeast end of the pond.",,Silver Creek - Pheasant Run Pond,2021-03-26,40.9989,-81.6741
08:25 pm,08:28 pm,16.11,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping","Wind was blowing at approximately 13 mph. Higher gusts were audible in the region but did not reach the area of observation. 

Overnight precipitation was 0.09”. ",North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. ,,Pine Brook,2021-03-26,41.425642,-72.866118
08:15 pm,08:18 pm,22.22,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,,Baltimore ,Maryland,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,"Expansive Vernal Pool is elevated but borders Big Gunpowder Falls and is near Phoenix Pond, runoff from precipitation but occasionally, depending on the year, some possible river overflow.  A beaver was witnessed at the site.",Phoenix Road about 200yards south of Phoenix W bridge,,Phoenix ranas,2021-03-26,39.52086,-76.61992
08:48 pm,08:51 pm,16,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Danbury,Fairfield,Connecticut,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,wooded site with wood and mallard ducks,Great Plain Road between Worden Rd. and Lakeview Rd.,,Great Plain Rd. Vernal Pond,2021-03-25,41.445208,-73.442795
08:48 pm,08:51 pm,16,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Fog or Mist,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Danbury,Fairfield,Connecticut,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,wooded site with wood and mallard ducks,Great Plain Road between Worden Rd. and Lakeview Rd.,,Great Plain Rd. Vernal Pond,2021-03-25,41.445208,-73.442795
10:00 pm,10:03 pm,20,0 - CALM: smoke rises vertically,Light Rain or Drizzle,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd.",,Black Willow Springs,2021-03-25,38.867179,-78.223686
08:08 pm,08:11 pm,18.1,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping","Overnight rain, slowing to shower and ending near noon. This breaks a many-day stretch of no precipitation.",Westborough,Worcester,Massachusetts,,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,,"Take route 495 north to exit 6B route 1495 north toward Worcester,MA. Take exit 21A onto W. Main Street Hopkinton MA. Turn left onto route 135 W/Wood street. Travel 3.8 miles. Turn left onto Belknap street. Follow to end. Turn left onto Upton Road and travel 1.1 miles. Site on left.",,Friendship House backyard,2021-03-25,42.2305,-71.6059
09:35 pm,09:38 pm,17.78,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Buffalo,Erie,New York,Gravel road,Pond,Human-made,Permanent,Stream or River,,"77 Honorine Drive
Depew 14043

formerly named ""Reinstein Woods 1""",,Heron Pond (1),2021-03-25,42.8881,-78.7174
09:10 pm,09:13 pm,10.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Guilford,New Haven,Connecticut,Urban,Swamp or Woodland Swamp,Not Known,Permanent,Not Known,,,,Schoolside Lane Swamp,2021-03-25,41.309937,-72.712847
08:48 pm,08:51 pm,17.78,0 - CALM: smoke rises vertically,Light Rain or Drizzle,No Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Depew,Erie,New York,gravel road,Pond,Human-made,Permanent,Pond,,"77 Honorine Dr
Depew 14043",,Flattail Lake (4),2021-03-25,42.8863,-78.7206
09:20 pm,09:23 pm,17.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,No Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Depew,Erie,New York,gravel road,Vernal Pool,Human-made,Temporary Some Years,Precipitation or Runoff,,"77 Honorine Drive
Depew 14043",,Vernal Pool (3B),2021-03-25,42.8863,-78.7186
08:40 pm,08:43 pm,17.78,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Depew,Erie,New York,gravel road,Pond,Human-made,Permanent,Pond,,"77 Honorine Dr
Depew NY 14043",,Green Heron Pond (8),2021-03-25,42.8893,-78.7187
05:56 am,05:59 am,17,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,Much Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Barton,Phillips,Arkansas,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,At Lick Creek trail head at Delta Heritage Trail State Park,"South of Barton, AR on Hwy 85 ",,Lick Creek Barton,2021-03-25,34.533889,-90.769077
07:55 pm,07:58 pm,16.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Cumberland,,Rhode Island,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,"Small vernal pool that dries up in late summer, remains mostly dry throughout autumn, and fills back up in winter and spring. Visible from the end of Nicholas Dr. (and my backyard). Sometimes dries up into two small water bodies separated by a small raised area of land while, other times, dries up completely. ","Get on RI-10 N from Rose Ave and Elmwood Ave

Follow I-95 N, RI-146 N and I-295 N to RI-114 N in Cumberland. Take exit 22 from I-295 N

At the traffic circle, take the 3rd exit onto RI-114 N
0.2 mi

At the traffic circle, continue straight to stay on RI-114 N
2.3 mi

Turn right onto RI-120 E
1.0 mi

Turn left onto N Attleboro Rd
0.5 mi

Turn right onto White Pine Dr
0.1 mi

Turn right onto Bishop Dr
420 ft

Turn right onto Nicholas Dr. 

The pool is located directly at the end of Nicholas Dr. (which is a dead-end road) ",,Dead End Oasis,2021-03-25,41.98029,-71.38344
08:20 pm,08:23 pm,13.89,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Rainfall was 0.84 inches overnight. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. ,,Pine Brook,2021-03-25,41.425642,-72.866118
11:10 pm,11:15 pm,10,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Seymour ,New Haven,Connecticut,Suburban,Freshwater Marsh,Not Known,Not Known,Not Known,,,,Wood Marsh,2021-03-25,41.37001,-73.120539
