Status,Station Name,Observation Date,Latitude,Longitude,Observation Time,Observation Notes,Relative Humidity,Barometric Pressure,Air Temperature,Wind Direction ,Visibility ,Water Temperature,Turbidity,Secchi Depth,Width,Depth,Stream Discharge,Surface Water Appearance,Stream Bank Eroision,Water Type,Salinity,Conductivity,Dissolved Oxygen,Nitrate,Ammonia,Phosphate,pH,Biological Oxygen Demand,Total Dissolved Solids,Fecal Coliform,Dissolved Carbon Dioxide,Tolerant Macroinvertebrates,Less Sensitive Macroinvertebrates,Sensitive Macroinvertebrates,Total Index Value,Caddisfly (Trichoptera-Other),Mayfly (Ephemeroptera),Stonefly (Plecoptera),Watersnipe Flies (Diptera-Athericidae),Riffle Beetles (Elmidae),Water Pennies (Psephenidae),Gilled Snails (Viviparidae),Dobsonfies (Corydalinae),Fishflies (Chauliodinae),Netspinning Caddisfly (Trichoptera-Hydropsychidae),Damselflies (Zygoptera),Dragonflies (Anisoptera),Alderflies (Sialidae),Crayfish (Astacoidea),Scuds (Amphipoda),Aquatic Sowbugs (Isopoda),Clams (Sphaeriidae),Mussels (Palaeoheterodonta),Aquatic Worms (Oligochaeta),Black Flies (Diptera-Simuliidae),Midge Flies,Leeches (Hirundinea),Lunged Snails (Pulmonata),Other Macroinvertebrate,silt (mud),"sand (1/16"" - 1/4"" grains)","gravel (1/4"" - 2"" stones)","cobbles (2"" - 10"" stones)","boulders (> 10"" stones)",trees,shrubs,grass,bare soil,rocks,other
,"Ocean City, marina",2015-09-19,38.327537,-75.10701,12:06 pm,Weather: 50% cloud cover (cumulus clouds). Biological Survey - Sein net: none. Grasses: none,,,,,,26.27,,64.5,,,,,,,34.17,268.2,9.08,,,,8.33,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Ocean City, 139th Street",2015-09-18,38.445481,-75.064938,02:56 pm,Weather: 2% cloud cover (cumulous clouds). Biological Survey - Sein net: none. Grasses: none,,,,,,25.9,,,,,,,,,34.2,270.2,9.44,,,,8.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Lewes Beach,2015-09-17,38.55008,-75.18309,07:05 pm,"Weather: 2% cloud cover (cirrus clouds)
Biological Survey - Sein net: silverside (8), grass shrimp (1), sheepshead minnows (3), banded killie fish (2); Grasses: none",,,,,,24.3,,47.5,,,,,,,21,280.86,8.98,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Indian River Inlet,2015-09-17,38.616086,-75.072972,09:07 pm,"Weather: clear skies. Biological Survey - Sein net: silverside (144), small crabs (4), banded killi (40), striped killi (60), mummichuge fish (10), grass shrimp (6); Grasses: none",,,,,,25,,77.5,,,,,,,21,265.4,9.51,,,,8.3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Slaughter Beach,2015-09-16,38.55008,-75.18309,09:58 pm,"Weather: 50% cloud cover (cirrus clouds). Biological Survey...

",,,,,,27.74,,19.5,,,,,,,20,271.57,8.83,,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Bowers Beach,2015-09-15,39.03297,-75.23542,03:51 pm,"Weather: Clear skies. Biological Survey - Sein net: Silverside (14), blue crab (1), American eels (4), grass shrimp (1); Habitat: Murdkill river, brackish, no bottom, sandy shore",,,,,,25.07,,55,,,,,,,18.17,283.8,10.19,,,,8.03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Woodland Beach,2015-09-14,39.195389,-75.281472,03:23 pm,Weather: 50% cloud cover (altocummulous clouds). Biological Survey- Sein net: silverside (7).,,,,,,21.83,,26.5,,,,,,,8,293.33,9.11,,,,8.1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Howell Point,2015-09-11,39.378777,-76.112025,06:57 am,"Weather: 98% cloud cover, stratus clouds. Biological survey: silverside fish (4), cucumber grass",,,,,,24.8,,48,,,,,,,1.4,271.7,8.31,,,,7.9,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Rock Hall,2015-09-10,39.157788,-76.238421,07:09 pm,"Habitat: Beach protected by jetty on the Chesapeake Bay. Weather: 90% cloud cover, impending thunderstorm. Biological survey (sein net): silver side fish (8). Bernie Fowler Index: 1.5 meters",,,,,,29.5,,150,,,,,,,2.5,247.1,7.62,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Sandy Point State Park,2015-09-09,39.02303,-76.410211,11:30 am,"Beach on the Chesapeake Bay. Weather: Clear skies, no precipitation. Sein net: silver side fish (58), stripped bass (1), blue crab (1), spot fish (12). Bernie Fowler Index: 1.2 m",,,,,,28.6,1.19,119,,,,,,,5,252.1,7.63,,,,7.9,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Unicorn Lake Creek,2015-08-06,39.249136,-75.859893,11:00 am,CTY BACO Session 2,,,26,,,20,,70,,0.7,,clear,35.0,river,0,,12,3,,0.35,6.2,,,,,25,45,25,33,,,,0,,,,0,0,0,,,0,8,0,0,0,,,,0,2,,,,,,,,,,,,,
,Urieville Boat Ramp Side,2015-07-31,39.27911,-76.025171,10:00 am,CTY BACO Second session,,,20,,,26,,10,,5,,green,,lake,0,,12,0,,3,6.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Urieville Creek Side,2015-07-31,39.278593,-76.025179,11:00 am,CTY BACO Session 2,,,20,,,20,,70,,0.7,,but tea-colored,35.0,lake,0,,11,0.8,,3,6.6,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Admiral's Landing Seaglide Summer Camp - Elizabeth River,2015-07-29,36.835309,-76.296679,06:00 pm,,59,"1,011",30.56,SW,,30.1,7,140,,,,but tea-colored,,,18,,5.5,0,,2,7,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Stillpond Landing,2015-07-29,39.321007,-76.087234,10:00 am,CTY BACO Session 2,,,27,,,23,,20,,0.8,,muddy,,river,0,,9,0.2,,0,6.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Admiral's Landing Seaglide Summer Camp - Elizabeth River,2015-07-28,36.835309,-76.296679,11:15 am,,54.2,"1,011",31.78,,,29.7,3.5,160,300,,,colored sheen (oily),,river,15,,3,0,,2,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Washington College Boat House,2015-07-27,39.203682,-76.065972,10:00 pm,CTY BACO Session 2,,,24,,,22.5,,65,,13,,but tea-colored,15.0,river,0.5,,7.5,0.3,,0.3,6,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Chesapeake Bay; exterior of Lynnhaven,2015-06-26,36.900139,-76.083467,06:00 pm,,,,,,,27,,150,,,,,,,20,,7,,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,CBF STEAM 2015,2015-06-25,36.922831,-76.103932,10:30 am,,,,,,,27,,150,,,,,,,20,,7,,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,CMWHS Campus Stream,2015-06-12,39.563751,-76.325807,08:00 am,,,,,,,18,0,0,,,,clear but tea-colored,35.0,river,0,,4.8,5,,1.3,7,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Diamond Teague Park,2014-12-01,38.871005,-77.00518,08:30 pm,,,,,,,2.22,100,,,,,blue/green,35.0,river,5,,0,0,,1,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Monebank Run at the Amphibian Pond,2014-11-20,39.419393,-76.542297,12:00 pm,,,,,,,11,0,,3,0.2,,clear,35.0,river,0,720,8,1,0,,7.5,,,,,0,25,0,,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,cranefly larva,,20,20,60,,40,40,,,20,
,Evitts Creek on ACM Campus,2014-10-21,39.647448,-78.726606,10:00 am,,50,,15.56,,,12,0,,,,,clear,35.0,,0,,10,0,0,0,7.5,,,,,,,,,,,,0,,,,,0,0,,0,,0,0,0,,0,0,0,0,,0,,,,,,,78,10,5,5,2,
,Evitts Creek on ACM Campus,2014-10-20,39.647448,-78.726606,10:00 am,,90,,7.22,,,12,0,,,,,clear,35.0,,0,,11,0,0,0,7.5,,,,,,,,,,,,0,,,,,,0,,,0,,0,0,,0,,0,,0,0,,5,20,20,50,5,,,,,,
,YMCA Camp Letts,2014-10-14,38.894364,-76.534557,12:00 pm,Southern Middle School 6th grade,,,,,,15.56,,,,,,,,,11.7,,5.1,,,,,,,,,2,2,0,,0,0,0,0,30,0,115,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
,ELSI - Wetlands,2014-10-10,38.886306,-76.965833,12:32 pm,,,,,,,19,40,160,,,,,,,13,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Janes Island State Park,2014-10-07,37.997279,-75.862905,10:34 am,"Janes Island, salt water estuary",61,"1,019.98",23.89,SW,,18.7,,3.5,,,,but tea-colored,15.0,,19.1,,3.8,0,,0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,20,,,30
,"PEEC
Environmental Education Center
",2014-06-14,41.17,-74.91,03:08 pm,"patly cloudy light breeze
",,,,,,20.56,,,,,,,,,0.1,0.1,7.2,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bear Branch Station E,2014-06-10,39.653476,-76.998332,01:00 pm,,74,,22,,,17,49,,,,,muddy,35.0,,5,236,7,3,0.21,,7.6,,,,,,,3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,25,45,5,10,10,50,10,1,20,9
,Bear Branch Station E,2014-06-10,39.653476,-76.998332,08:30 am,,74,,22,,,17,49,,,,176.82,clear but tea-colored,,,18,236,7,0.4,0.25,,7.6,,,,,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,25,45,5,10,10,50,10,4,20,5
,Scotch Bonnett Creek,2014-06-07,39.05,-74.77,11:35 am,"clear day,hot , low tide, faint breeze high o
xygen saturation in water",50,,,,,24.2,,37,,,,muddy,,,30.2,,6.9,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPC 2,2014-06-05,39.445879,-76.271864,10:00 am,Southampton OPCES Field Trip 4,,,20,,,23.6,,29.5,,,,muddy,15.0,,0.1,,5.66,1.43,,0.01,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPC 2,2014-06-03,39.445879,-76.271864,11:32 am,Southampton OPCES Field Trip 2,,,32.33,,,25,,41.5,,,,muddy,,,0.1,,7.6,2.2,,0.08,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox Island,2014-06-02,37.895723,-75.899294,09:30 pm,Potomac MS,,,22.22,,,21.11,,167.64,,,,,,,17.5,,8.5,3.1,,0.04,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Somerset Intermediatre School,2014-06-02,38.13773,-75.632466,,,,,20,,,15.56,,15.24,,,,muddy,15,,3.5,,6.9,1.5,,1,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,70,20,5,5,,
,OPC 2,2014-05-30,39.445879,-76.271864,10:00 am,Southampton MS OPCES Field Trip ,,,,,,19,,32.5,,,,muddy,,,0.11,,5.99,0.44,,0.03,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox Island,2014-05-30,37.895723,-75.899294,09:00 am,Harford Friends,,,18.33,,,21.11,,198.12,,,,,,,17,,7.3,2.1,,0.23,6.75,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Fox Island,2014-05-22,37.895723,-75.899294,09:30 am,Gunston HS,,,22.78,,,20.78,,121.92,,,,,,,18,,8,2,,0.45,7,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Fallston MS OPCES,2014-05-22,39.445248,-76.272317,11:38 am,,,,,,,21.55,,29.1,,,,muddy,,,0.09,,8.27,0.77,,0.04,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fox Island,2014-05-16,37.895723,-75.899294,11:00 am,Lorien Wood MS,,,17.22,,,21.11,,30.48,,,,,,,26,,8.06,0.6,,0.06,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Fox Island,2014-05-15,37.895723,-75.899294,10:30 am,Roberto Clemente MS,,,23.33,,,22.22,,182.88,,,,,,,21,,8.21,1.5,,0.07,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2014-05-15,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,27.22,,,20,22,,,,,,,,2.5,,2,2,,,7,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2014-05-09,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,17.22,,,18.89,22,,,,,,,,2,,2,0.01,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,NHHS Campus Stream,2014-05-08,39.674271,-76.396739,08:00 am,Partly cloudy day although it had previously rained.,,,15.56,,,11.5,0,,,,0.5,clear,35.0,,0,170,9,4,,0,6.5,,,,,113,22,90,23,38,25,24,0,3,0,0,0,0,0,7,6,0,4,0,0,0,0,0,0,1,0,0,,40,20,10,10,10,80,10,,,10,
,Soapstone Branch,2014-05-06,39.2312,-76.727885,10:00 am,Sky was clear. Humid.Birds were present during our exploration.  Soapstone Branch has many rocks in the water.,17,,13.89,,,12.78,0,120.7,,,,clear,35.0,,0,,6,5,,2,7,,,,,3,1,4,8,1,2,2,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,6,0,2,0,0,,5,20,70,5,0,40,5,20,40,70,
,Fox Island,2014-05-04,37.895723,-75.899294,04:00 pm,Colonial Heights MS,,,20,,,19,,147.32,,,,,,,21,,10,1.1,,0.2,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Chestnut Branch Rowan University,2014-04-29,39.713103,-75.124156,01:45 pm,Dense tree cover. Stream in approximately 6 inches deep. Relativly clear water with sandy gravel stream bed. Some algae growth.,,,,,,17.7,3.45,,,,2,clear,,,4.72,235,8.67,,,,6.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Crossroads Center Stream Site,2014-04-24,39.38217,-76.505442,11:00 am,"Sunny, no winds, heavey rains the week prior to the field trip. A lot of woody debris piled up from the storm the week prior to our trip. The area contained large amounts of dog waste",,,,,,13.89,40,,,,,clear,65.0,,0.4,,10,-5,,0,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Rowan University Abbott's Pond- Sean, Nicole, Joseph, Russell",2014-04-12,39.7088,-75.114,11:30 am,Sunny and calm day.,,,22.78,,,21,47.2,,,,,clear but tea-colored,,,0.1,277.4,5.2,,,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rowan University Rowan Hall Stream- S, N, J, R",2014-04-12,39.711,-75.1226,12:00 pm,Sunny and calm day.,,,22.78,,,18.5,50.6,,,,,clear but tea-colored,,,0.1,279,5.4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dupont Nature Center Wilmington,2014-04-12,39.722,-75.561,12:00 pm,,,,,,,15.61,50,,,,,,,,0.2,,0.11,8,,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2014-04-10,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,15.56,,,11.67,6.5,,,,,,,,6,,2.4,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,North Point State Park,2014-04-08,39.218202,-76.418055,12:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,12.78,,,11.11,32,,,,,,,,5,,2,2,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Dupont Nature Center Wilmington,2014-04-05,39.722,-75.561,12:00 am,,,,,,,14.5,28,,,,,,,,0.2,,8.9,7,,0.11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Delaware River @ Riverwinds, West Deptford",2014-04-05,39.862,-75.208,10:30 am,,42,"1,012.19",12.22,,,9,80.9,,,,,clear but tea-colored,,,0.1,250.5,8.8,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Woodbury Creek @ Woodbury Creek Park, Woodbury",2014-04-05,39.841,-75.154,12:10 pm,,36,"1,012.53",12.22,,,12.7,108,,,,,muddy,,,0.1,273.7,8.4,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dupont Nature Center Wilmington,2014-03-16,39.722,-75.561,12:00 am,,,,,,,4.22,29,,,,,,,,0,,11.3,7,,0.21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dupont Nature Center Wilmington,2013-12-28,39.722,-75.561,12:00 am,,,,,,,4.22,28,,,,,,,,0.2,,4.49,10,,0.16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adkins Arboretum,2013-10-30,38.953702,-75.93131,,,,,,,,10,0,,,,,clear but tea-colored,35.0,,0,110,4,0,,0.15,6,,,,,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,70,20,,,70,10,,,,20
